quote_attribution,slug,collection_id,item_id,created_on,updated_on,published_on,quote_attribution_job_title,company_name,quote,banner_image,banner_image_description,associated_project,sort_priority
Jacqueline Norman,jacqueline-norman,5fd3fe862aa1abf133bde7b5,6010463f49296a66f8cc4d28,Tue Jan 26 2021 16:41:35 GMT+0000 (Coordinated Universal Time),Wed Feb 10 2021 00:35:24 GMT+0000 (Coordinated Universal Time),Wed Feb 10 2021 00:35:28 GMT+0000 (Coordinated Universal Time),Senior Project Manager,"University of California, Riverside","<p>It has been a pleasure working with RSM Design on the Highlander Union Building – UCR’s student commons. As we rapidly reach the installation of the signage and wayfinding program for our new building, RSM Design has been instrumental in the seamless coordination efforts with the entire team. From management of the sign fabrication process to their systematic method of gaining approvals through the university system, RSM Design has a thorough knowledge of what it takes to get a project completed.</p>",https://uploads-ssl.webflow.com/5eec789d24d891b6d1d15438/6013fb986b0dc132039c87cf_RSM-Design_UCR-Riverside-Placemaking.jpg,Outdoor signage at UCR Hub with oversized lawn letters in the background.,university-of-california-riverside,4
James Horvath,james-horvath,5fd3fe862aa1abf133bde7b5,6047b7b83477dc87f3247a2d,Tue Mar 09 2021 18:00:24 GMT+0000 (Coordinated Universal Time),Tue Mar 09 2021 18:00:24 GMT+0000 (Coordinated Universal Time),,Senior Vice President,BWA,<p>RSM is a creative group of individuals who have excelled at issuing deliverables on time... with detailed execution... RSM has been an integral member of my design consultant team.</p>,,,,
Jenifer Barsell,jenifer-barsell,5fd3fe862aa1abf133bde7b5,60103918855e473b0488bef6,Tue Jan 26 2021 15:45:28 GMT+0000 (Coordinated Universal Time),Wed Feb 10 2021 00:35:00 GMT+0000 (Coordinated Universal Time),Wed Feb 10 2021 00:35:28 GMT+0000 (Coordinated Universal Time),"Director, Marketing & Communications",Port of San Diego,"<p>…The Port of San Diego hired RSM Design to develop a comprehensive, branded baywide signage plan for all port signage along 34 miles of port tidelands around San Diego Bay. And they delivered.</p><p>RSM was responsive, diligent and easy to work with. Their creative designs for the signage fit perfectly with the port’s branding efforts and incorporated input from several internal stakeholders. There is a detailed plan in place for how signs should look so there is consistency, as well as where signs should be placed to make the biggest impact…</p>",https://uploads-ssl.webflow.com/5eec789d24d891b6d1d15438/6013faaa7a34fca70276516b_RSM-Design_Port-of-San-Diego-Sunset-on-Water.jpg,Boats in the Port of San Diego during pink cloud sunset,port-of-san-diego,5
"Jim Burnett, FASLA",jim-burnett,5fd3fe862aa1abf133bde7b5,6047ba2a40cd2a668d83045d,Tue Mar 09 2021 18:10:50 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 17:33:47 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 17:34:12 GMT+0000 (Coordinated Universal Time),President,OJB Landscape Architecture,"<p>RSM Design, in a body of richly conceived and executed projects across the globe, is a rare collective of designers who look deeply at place, not as a <em>tabula rasa</em>, but as a palimpsest for the cues to connect people to place and to connect people to each other. RSM creates spaces that are finely tuned and are well crafted, and they make a statement with their designs; one that captures the spirit of place, is a wow experience and most importantly has a feeling of optimism.</p>",https://uploads-ssl.webflow.com/5eec789d24d891b6d1d15438/6047e57e9a2b7313c385fdbd_Jim-Burnett-OJB.jpg,"Rosemary Square, a project on which RSM Design collaborated with OJB Landscape Architecture.",rosemary-square,6
Julie Jauregui,julie-jauregui,5fd3fe862aa1abf133bde7b5,60103c99befb4811c30f9751,Tue Jan 26 2021 16:00:25 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 17:51:47 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 17:51:52 GMT+0000 (Coordinated Universal Time),Senior General Manager,Americana at Brand - Caruso Affiliated,"<p>We have received a number of compliments over the Holiday Season in regards to the new directional signs. Multiple guests and tenants commented that they were extremely impressed with the quality of the signs, and how they have helped to make navigating through the center much easier. The directional signs have made a tremendous impact and look great! I just wanted to share.</p>",https://uploads-ssl.webflow.com/5eec789d24d891b6d1d15438/6013fb4a9be214e1c72789c4_RSM-Design_Americana-at-Brand-Wayfinding-Signage.jpg,Rooftop signage at Americana at Brand with yellow wayfinding signage in the foreground.,americana-at-brand,0
Melissa Jamvold,melissa-jamvold,5fd3fe862aa1abf133bde7b5,6047b8a949ff6335866ad6b7,Tue Mar 09 2021 18:04:25 GMT+0000 (Coordinated Universal Time),Tue Mar 09 2021 18:05:41 GMT+0000 (Coordinated Universal Time),,Design Manager,Grand Canyon Development Partners,"<p>Beyond their singularly original designs, RSM&nbsp;offers their clients a level of catered service that makes partnering, on even the most complex projects, effortless. It's their passion for creativity that propel them as the front runners in what they do. Without a doubt, their signature is excellence!</p>",,,,
Rob Anderson,rob-anderson,5fd3fe862aa1abf133bde7b5,60103b8ffacc0dca7d76154f,Tue Jan 26 2021 15:55:59 GMT+0000 (Coordinated Universal Time),Wed Feb 10 2021 00:34:36 GMT+0000 (Coordinated Universal Time),Wed Feb 10 2021 00:35:28 GMT+0000 (Coordinated Universal Time),Principal,Field Paoli Architects,"<p>We like the way RSM brings fresh ideas to their design work and how they add significant value to our work. RSM adds texture to a project by thinking carefully about graphic design for every important element and they especially stand out by how effectively they interact and brainstorm with us. More than any other designer, they truly understand what we want out of a project.</p>",https://uploads-ssl.webflow.com/5eec789d24d891b6d1d15438/6013fb277e6b93758f6361f1_RSM-Design_Forum-Cuernavaca-Rooftop-Signage.jpg,Forum Cuernavaca retail signage on rooftop in Mexico,forum-cuernavaca-cuernavaca-mexico,3
Ronald Altoon,ronald-altoon,5fd3fe862aa1abf133bde7b5,6047c0fb75de74fb0ff5ea7a,Tue Mar 09 2021 18:39:55 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 17:34:05 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 17:34:12 GMT+0000 (Coordinated Universal Time),Founding Partner,Altoon Partners LLP,"<p>Over the years we have collaborated with RSM Design on over 40 projects, both international and domestic ... every time they brought joy to their work, their relationships, and the communities which were benefitted by their senses. Over five decades of practice, I’ve engaged and worked collaboratively with a host of highly skilled two-dimensional (paper) graphic designers and three-dimensional environmental graphic design firms. But, the most natural fit for my work, the firm which stood apart as possessing the most alluring elixir of creative and professional engagement, was RSM Design. A highly collaborative firm, collegial, impossible to rattle with severe criticism, they always led with optimism and interest. To a person they bring a level of energy, excitement, curiosity, and creativity rarely exhibited by environmental design professionals. Their passion is infectious, and the outcome shows it. They are consummate professionals.</p>",https://uploads-ssl.webflow.com/5eec789d24d891b6d1d15438/6047e56465c588566fd93262_Altoon.jpg,"Victoria Gardens, a project on which RSM Design collaborated with Altoon.",monet-avenue-rancho-cucamonga-ca,5
Steve Schafenacker,steve-schafenacker,5fd3fe862aa1abf133bde7b5,60103b0f7930723aaf2f185b,Tue Jan 26 2021 15:53:51 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 17:51:34 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 17:51:52 GMT+0000 (Coordinated Universal Time),Development Consultant,Genoa Development Corporation,<p>The innovative design team at RSM goes beyond graphic design in that they understand the architecture and meaning of projects. They enhance the overall feeling of the project and deliver on time with impeccable service.</p>,https://uploads-ssl.webflow.com/5eec789d24d891b6d1d15438/60480c51fae01f00e9e25624_Genoa.jpg,"Monet Avenue, a project on which RSM Design Collaborated with Genoa Development Corporation",monet-avenue-rancho-cucamonga-ca,0
"Susan W. F. Todani, CRE",susan-w-f-todani-cre,5fd3fe862aa1abf133bde7b5,60103abb5b2d875349b9d53b,Tue Jan 26 2021 15:52:27 GMT+0000 (Coordinated Universal Time),Tue Jan 26 2021 16:43:28 GMT+0000 (Coordinated Universal Time),,Director Special Projects,Kamehameha Schools,"<p>Through research and examination of the local culture, RSM created a design language that spoke to our project’s regional community in a commercially viable way… THEY TRULY CAPTURED THE ESSENCE of the community.</p>",https://uploads-ssl.webflow.com/5eec789d24d891b6d1d15438/6010395c47dde6273a9baef4_RSM-Design_Kakaako-Presentation-Cover.jpg,Vision presentation cover for Kaka'ako placemaking and signage.,,
Thomas Herrera-Wishler,thomas-herrera-wishler,5fd3fe862aa1abf133bde7b5,6010381add4f144c4e0e5998,Tue Jan 26 2021 15:41:14 GMT+0000 (Coordinated Universal Time),Wed Feb 10 2021 00:35:11 GMT+0000 (Coordinated Universal Time),Wed Feb 10 2021 00:35:28 GMT+0000 (Coordinated Universal Time),Executive Officer,Balboa Park Conservancy,"<p>Our design process involves a high level of participatory planning with key stakeholders. We have partnered with RSM in transforming Balboa Park’s signage and wayfinding from pretty poor toward best-in-class. The firm has provided us a steady guide and inspiration as we inventoried and mapped all of the signage in and leading to the park. Sharing our findings with our key stakeholders with RSM remains one of the most effective community meetings we have held. Their plan provides us with a contextually sensitive design that is extremely attractive to our donors and to the city’s parks and recreation department. It sets the standard now for the entire park and is influencing system-wide donor recognition, advancing design from pedestrian to best-in-class.</p>",https://uploads-ssl.webflow.com/5eec789d24d891b6d1d15438/6013fa3b1a3b478cedb841b4_RSM-Design_Balboa-Park-Entry-Fountain.jpg,Balboa Park Conservancy entry fountain with buildings in background,balboa-park-masterplan-san-diego-california,3
